,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
155,373449,2.0,2018-11-29,Action,6.1,49,10847903,4152000,6695903,38.3,61.7
156,375262,The Favourite,2018-11-23,Drama,7.6,2657,95918706,34366783,61551923,35.8,64.2
157,375588,Robin Hood,2018-11-21,Action,5.8,1585,85882380,30824628,55057752,35.9,64.1
158,378631,Like Me,2018-01-25,Crime,5.9,21,12965,12965,0,100.0,0.0
159,381719,Peter Rabbit,2018-02-09,Adventure,6.5,741,351266433,115253424,236013009,32.8,67.2
160,383498,Deadpool 2,2018-05-10,Action,7.5,9966,734546611,318491426,416055185,43.4,56.6
162,385360,Billionaire Boys Club,2018-08-03,Drama,5.5,173,2713955,1349,2712606,0.0,100.0
163,385448,The Little Mermaid,2018-08-17,Adventure,4.9,561,2610742,147175,2463567,5.6,94.4
164,385955,Where Is Kyra?,2018-04-06,Drama,5.8,25,59717,59717,0,100.0,0.0
165,387592,Early Man,2018-02-16,Adventure,6.0,378,54622814,8267544,46355270,15.1,84.9
166,391714,On Chesil Beach,2018-05-18,Drama,6.1,122,3335913,745971,2589942,22.4,77.6
167,393425,Intersection,2018-06-15,Crime,0.0,1,5116,5116,0,100.0,0.0
168,393834,Goldstone,2018-03-02,Crime,6.0,50,87639,87639,0,100.0,0.0
169,394741,Stan & Ollie,2018-12-28,Comedy,7.1,433,24420923,5470235,18950688,22.4,77.6
170,395948,Are We Not Cats,2018-02-23,Horror,6.5,7,5518,5518,0,100.0,0.0
171,395990,Death Wish,2018-03-02,Action,5.9,1364,49562710,34017028,15545682,68.6,31.4
172,396373,Woman Walks Ahead,2018-04-25,Drama,6.9,64,80912,57528,23384,71.1,28.9
173,396461,Under the Silver Lake,2019-04-19,Drama,6.4,473,2053469,46083,2007386,2.2,97.8
174,397722,Thoroughbreds,2018-03-09,Drama,6.3,459,3187255,3072605,114650,96.4,3.6
175,398173,The House That Jack Built,2018-11-28,Drama,7.2,1006,3297010,170113,3126897,5.2,94.8
177,399174,Isle of Dogs,2018-03-23,Adventure,7.9,2343,64241499,32015231,32226268,49.8,50.2
178,399248,Beirut,2018-04-11,Action,6.2,238,7509436,5019226,2490210,66.8,33.2
179,399360,Alpha,2018-08-17,Adventure,6.0,1339,98203196,35857181,62346015,36.5,63.5
180,399402,Hunter Killer,2018-10-26,Action,6.4,860,31672678,15767460,15905218,49.8,50.2
181,399440,Peterloo,2019-04-05,Drama,7.4,45,1998945,151971,1846974,7.6,92.4
182,399796,Life of the Party,2018-05-11,Comedy,6.2,528,65859911,53059911,12800000,80.6,19.4
