,movie_id,title,release_date,genre_ids,vote_avg,vote_count,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
0,221,Rebel Without a Cause,2018-09-23,Drama,7.7,827,199963,199963,0,100.0,0.0
1,424,Schindler's List,1993-12-15,Drama,8.6,8804,937140,833050,104090,88.9,11.1
2,2280,Big,1988-06-03,Comedy,7.0,1985,258507,258507,0,100.0,0.0
3,8392,My Neighbor Totoro,2018-12-11,Animation,8.1,3616,27083857,1144649,25939208,4.2,95.8
4,10148,Krystal,2018-04-13,Comedy,4.6,25,37516,37516,0,100.0,0.0
5,11506,The Silence,1964-02-03,Drama,7.5,166,289455,67986,221469,23.5,76.5
6,50022,Super Troopers 2,2018-04-20,Comedy,5.8,230,31626386,30617396,1008990,96.8,3.2
7,220882,London Fields,2018-10-26,Crime,5.1,91,487420,252676,234744,51.8,48.2
8,260513,Incredibles 2,2018-06-15,Action,7.5,7299,1242805359,608581744,634223615,49.0,51.0
9,268896,Pacific Rim: Uprising,2018-03-23,Action,5.9,2533,290930148,59874525,231055623,20.6,79.4
10,284054,Black Panther,2018-02-16,Action,7.4,13751,1346913161,700059566,646853595,52.0,48.0
11,287523,Death House,2018-02-28,Horror,3.1,19,23833,23833,0,100.0,0.0
12,297802,Aquaman,2018-12-21,Action,6.8,7462,1148161807,335061807,813100000,29.2,70.8
13,299536,Avengers: Infinity War,2018-04-27,Action,8.3,15989,2048359754,678815482,1369544272,33.1,66.9
14,300668,Annihilation,2018-02-23,Horror,6.3,4995,43070915,32732301,10338614,76.0,24.0
15,322520,Hal,2018-01-22,Documentary,0.0,1,49045,48698,347,99.3,0.7
16,324538,Damascus Cover,2018-07-20,Mystery,5.6,26,19532,0,19532,0.0,100.0
17,324857,Spider-Man: Into the Spider-Verse,2018-12-14,Action,8.4,5777,375540831,190241310,185299521,50.7,49.3
18,332283,Mary Shelley,2018-05-25,Drama,7.1,501,2096600,108900,1987700,5.2,94.8
19,332562,A Star Is Born,2018-10-05,Drama,7.5,6916,434888866,215288866,219600000,49.5,50.5
20,332718,Bilal: A New Breed of Hero,2018-02-02,Action,6.9,60,576805,490973,85832,85.1,14.9
21,333339,Ready Player One,2018-03-29,Adventure,7.6,8023,582890172,137690172,445200000,23.6,76.4
22,334546,In Searching,2018-12-04,Adventure,0.0,0,5210,5210,0,100.0,0.0
23,335983,Venom,2018-10-05,Action,6.6,7531,856085151,213515506,642569645,24.9,75.1
24,336843,Maze Runner: The Death Cure,2018-01-26,Action,7.0,4308,288175335,58032443,230142892,20.1,79.9
25,337167,Fifty Shades Freed,2018-02-09,Drama,6.2,3816,371985018,100407760,271577258,27.0,73.0
26,338768,Please Stand By,2018-01-26,Comedy,6.9,211,406732,9868,396864,2.4,97.6
27,338952,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,Adventure,6.9,5778,653755901,159555901,494200000,24.4,75.6
28,338970,Tomb Raider,2018-03-16,Action,6.3,4809,274650803,58250803,216400000,21.2,78.8
29,339103,Gotti,2018-06-15,Crime,5.2,316,6412349,4343227,2069122,67.7,32.3
30,339380,On the Basis of Sex,2018-12-25,Drama,7.4,364,38673750,24622687,14051063,63.7,36.3
31,340022,Gringo,2018-03-09,Action,5.9,389,11001627,4969853,6031774,45.2,54.8
32,340613,The Wife,2018-08-17,Drama,7.2,568,18205312,9601092,8604220,52.7,47.3
33,341689,How to Talk to Girls at Parties,2018-05-25,Comedy,6.3,181,385733,84809,300924,22.0,78.0
34,341735,The Seagull,2018-05-11,Comedy,5.8,35,1820461,1252960,567501,68.8,31.2
35,345887,The Equalizer 2,2018-07-20,Thriller,6.5,2416,190400157,102084362,88315795,53.6,46.4
