,movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
169,394741,Stan & Ollie,2018-12-28,35,13.704,7.1,433,146,Stan & Ollie,24420923,5470235,18950688,22.4,77.6
170,395948,Are We Not Cats,2018-02-23,27,1.255,6.5,7,856,Are We Not Cats,5518,5518,0,100.0,0.0
171,395990,Death Wish,2018-03-02,28,21.151,5.9,1364,105,Death Wish,49562710,34017028,15545682,68.6,31.4
172,396373,Woman Walks Ahead,2018-04-25,18,7.155,6.9,64,648,Woman Walks Ahead,80912,57528,23384,71.1,28.9
173,396461,Under the Silver Lake,2019-04-19,18,11.927999999999999,6.4,473,326,Under the Silver Lake,2053469,46083,2007386,2.2,97.8
174,397722,Thoroughbreds,2018-03-09,18,10.607999999999999,6.3,459,292,Thoroughbreds,3187255,3072605,114650,96.4,3.6
175,398173,The House That Jack Built,2018-11-28,18,14.758,7.2,1006,288,The House That Jack Built,3297010,170113,3126897,5.2,94.8
176,398173,The House That Jack Built,2018-11-28,18,14.758,7.2,1006,314,The House That Jack Built 2018 Re-release,2268855,87993,2180862,3.9,96.1
177,399174,Isle of Dogs,2018-03-23,12,16.813,7.9,2343,96,Isle of Dogs,64241499,32015231,32226268,49.8,50.2
178,399248,Beirut,2018-04-11,28,12.418,6.2,238,235,Beirut,7509436,5019226,2490210,66.8,33.2
179,399360,Alpha,2018-08-17,12,15.581,6.0,1339,62,Alpha,98203196,35857181,62346015,36.5,63.5
180,399402,Hunter Killer,2018-10-26,28,23.866999999999997,6.4,860,132,Hunter Killer,31672678,15767460,15905218,49.8,50.2
181,399440,Peterloo,2019-04-05,18,4.176,7.4,45,329,Peterloo,1998945,151971,1846974,7.6,92.4
182,399796,Life of the Party,2018-05-11,35,11.709000000000001,6.2,528,94,Life of the Party,65859911,53059911,12800000,80.6,19.4
183,400155,Hotel Transylvania 3: Summer Vacation,2018-06-30,16,20.283,6.8,1940,17,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,31.7,68.3
184,400535,Sicario: Day of the Soldado,2018-06-29,28,20.889,6.7,1556,84,Sicario: Day of the Soldado,75836683,50072235,25764448,66.0,34.0
185,400579,Tully,2018-05-04,35,13.118,6.9,732,181,Tully,15636462,9369755,6266707,59.9,40.1
186,400650,Mary Poppins Returns,2018-12-19,35,22.678,6.6,1867,29,Mary Poppins Returns,349537494,171958438,177579056,49.2,50.8
187,401469,Widows,2018-11-16,80,19.914,6.5,1211,83,Widows,75984700,42402632,33582068,55.8,44.2
188,401847,Can You Ever Forgive Me?,2018-10-19,35,14.64,6.8,635,197,Can You Ever Forgive Me?,12442161,8803865,3638296,70.8,29.2
189,401981,Red Sparrow,2018-03-02,9648,25.535999999999998,6.5,3766,49,Red Sparrow,151572634,46874505,104698129,30.9,69.1
190,402900,Ocean's Eight,2018-06-08,28,21.236,6.9,4330,33,Ocean's Eight,297718711,140218711,157500000,47.1,52.9
191,404368,Ralph Breaks the Internet,2018-11-21,12,32.646,7.2,3475,16,Ralph Breaks the Internet,529323962,201091711,328232251,38.0,62.0
192,404782,Altered Perception,2018-05-04,878,1.357,6.5,3,892,Altered Perception,1259,1259,0,100.0,0.0
193,406563,Insidious: The Last Key,2018-01-05,27,20.724,6.1,1468,46,Insidious: The Last Key,167885588,67745330,100140258,40.4,59.6
194,406761,Hotel Artemis,2018-06-08,28,16.332,5.9,653,192,Hotel Artemis,13313581,6708147,6605434,50.4,49.6
197,407451,A Wrinkle in Time,2018-03-09,12,12.243,5.0,1179,52,A Wrinkle in Time,132675864,100478608,32197256,75.7,24.3
198,407719,Golden Exits,2018-02-09,18,3.613,6.3,26,709,Golden Exits,41888,41888,0,100.0,0.0
199,407890,Lean on Pete,2018-04-06,12,8.96,6.9,153,309,Lean on Pete,2443584,1163056,1280528,47.6,52.4
201,408873,Kings,2018-04-27,80,6.7379999999999995,6.1,72,393,Kings,910269,274635,635634,30.2,69.8
202,412302,Gemini,2018-03-30,80,6.03,5.6,72,548,Gemini,200340,200340,0,100.0,0.0
203,412988,The Happytime Murders,2018-08-24,28,12.145,5.6,507,140,The Happytime Murders,27506452,20706452,6800000,75.3,24.7
204,414001,The Mercy,2018-11-30,12,9.82,5.9,133,497,The Mercy 2018 Re-release,306205,29538,276667,9.6,90.4
205,414018,Damsel,2018-06-22,35,5.162999999999999,5.0,35,492,Damsel,323235,305136,18099,94.4,5.6
206,414454,Submission,2018-03-02,18,3.52,6.5,13,713,Submission,39985,39985,0,100.0,0.0
209,416194,The Quake,2018-12-14,28,14.835,6.5,144,190,The Quake,13747547,6235,13741312,0.0,100.0
210,416234,Winchester,2018-02-02,14,13.173,5.8,980,112,Winchester,44019588,25091816,18927772,57.0,43.0
211,416494,Status Update,2018-02-09,35,7.178999999999999,6.8,152,460,Status Update,416178,4764,411414,1.1,98.9
212,417261,Forever My Girl,2018-01-26,18,13.503,7.4,492,177,Forever My Girl,16376066,16376066,0,100.0,0.0
214,417812,Wildlife,2018-10-19,18,13.700999999999999,6.8,228,291,Wildlife,3231638,1050616,2181022,32.5,67.5
215,419478,Midnight Sun,2018-03-23,18,14.206,7.7,1864,141,Midnight Sun,27365467,9561064,17804403,34.9,65.1
216,419743,Disobedience,2018-04-27,18,13.439,6.9,471,231,Disobedience,7870127,3498782,4371345,44.5,55.5
217,420814,Christopher Robin,2018-08-03,12,18.598,7.4,1554,42,Christopher Robin,197744377,99215042,98529335,50.2,49.8
218,420915,Yardie,2018-01-20,80,5.486000000000001,5.9,24,347,Yardie,1551163,36012,1515151,2.3,97.7
221,421471,Flower,2018-03-16,35,7.707999999999999,6.5,108,471,Flower,380553,328188,52365,86.2,13.8
223,422708,Let the Corpses Tan,2018-08-31,53,2.97,6.2,41,635,Let the Corpses Tan,93409,93409,0,100.0,0.0
224,424121,Apostle,2018-09-21,14,13.183,6.1,662,149,"Paul, Apostle of Christ",23039243,17560475,5478768,76.2,23.8
225,424139,Halloween,2018-10-19,27,24.733,6.4,2413,37,Halloween,255485178,159342015,96143163,62.4,37.6
227,424694,Bohemian Rhapsody,2018-11-02,18,43.607,8.0,9339,6,Bohemian Rhapsody,903655259,216428042,687227217,24.0,76.0
228,424781,Sorry to Bother You,2018-07-06,35,15.625,6.9,629,168,Sorry to Bother You,18170707,17493096,677611,96.3,3.7
229,424783,Bumblebee,2018-12-21,28,27.369,6.5,3095,19,Bumblebee,467989645,127195589,340794056,27.2,72.8
230,425148,Show Dogs,2018-05-18,12,9.183,5.9,110,120,Show Dogs,39156854,17857020,21299834,45.6,54.4
231,425336,Loving Pablo,2018-06-15,80,26.506,6.2,578,176,Loving Pablo,17535962,22017,17513945,0.1,99.9
232,425373,The Miracle Season,2018-04-13,18,9.323,7.2,139,219,The Miracle Season,10230620,10230620,0,100.0,0.0
238,425505,Kin,2018-08-31,28,13.402999999999999,6.1,388,217,Kin,10313019,5718096,4594923,55.4,44.6
249,426030,Finding Your Feet,2018-03-30,35,8.102,7.2,69,179,Finding Your Feet,15845593,1418682,14426911,9.0,91.0
250,426251,Love After Love,2018-03-30,18,3.449,5.8,7,609,Love After Love,121098,121098,0,100.0,0.0
251,426426,Roma,2018-11-21,18,14.998,7.8,2224,370,Roma,1148031,0,1148031,0.0,100.0
252,426543,The Nutcracker and the Four Realms,2018-11-02,12,23.948,6.0,1172,45,The Nutcracker and the Four Realms,173961069,54858851,119102218,31.5,68.5
253,426563,Holmes & Watson,2018-12-25,12,17.384,4.4,330,119,Holmes & Watson,40466970,30573626,9893344,75.6,24.4
254,426613,The Miseducation of Cameron Post,2018-08-03,18,14.052,7.0,408,351,The Miseducation of Cameron Post,1451729,904703,547026,62.3,37.7
255,426618,Where Hands Touch,2018-09-14,18,9.571,7.6,131,601,Where Hands Touch,128269,67743,60526,52.8,47.2
256,427214,The Happy Prince,2018-10-05,18,7.6370000000000005,6.8,86,301,The Happy Prince,2621992,466440,2155552,17.8,82.2
257,427641,Rampage,2018-04-13,28,25.87,6.2,3562,21,Rampage,428028233,101028233,327000000,23.6,76.4
258,428078,Mortal Engines,2018-12-14,12,26.478,6.1,2324,77,Mortal Engines,83672673,15951040,67721633,19.1,80.9
259,429195,Dark River,2018-06-29,53,4.939,6.0,37,526,Dark River,239182,7714,231468,3.2,96.8
260,429197,Vice,2018-12-25,35,16.992,7.1,1672,82,Vice,76073488,47836282,28237206,62.9,37.1
261,429202,Vox Lux,2018-12-07,18,13.28,5.9,158,354,Vox Lux,1399272,727119,672153,52.0,48.0
262,429203,The Old Man & the Gun,2018-09-28,35,14.83,6.3,672,173,The Old Man & the Gun,17860397,11277120,6583277,63.1,36.9
263,429300,Adrift,2018-06-01,53,13.693,6.8,1448,97,Adrift,59945012,31445012,28500000,52.5,47.5
264,429351,12 Strong,2018-01-19,28,26.325,5.8,1471,91,12 Strong,67450815,45819713,21631102,67.9,32.1
265,429417,Ghost Stories,2018-04-20,18,11.962,6.5,641,270,Ghost Stories,4131358,148747,3982611,3.6,96.4
266,429467,The Lodgers,2017-10-10,18,10.012,4.9,240,391,The Lodgers,916727,7362,909365,0.8,99.2
267,429476,Hell Fest,2018-09-28,27,10.349,5.6,388,169,Hell Fest,18159691,11107431,7052260,61.2,38.8
268,430040,The Hurricane Heist,2018-03-09,28,15.417,5.5,545,130,The Hurricane Heist,32517248,6115825,26401423,18.8,81.2
269,430231,The Endless,2018-04-06,27,12.937999999999999,6.3,384,384,The Endless,956425,272020,684405,28.4,71.6
270,430450,Sollers Point,2018-05-11,18,3.114,5.4,8,735,Sollers Point,32608,32608,0,100.0,0.0
271,431185,He's Out There,2018-10-16,27,6.727,5.6,110,434,He's Out There,544674,0,544674,0.0,100.0
272,431491,Bodied,2018-11-02,35,6.189,7.9,47,615,Bodied,113956,113956,0,100.0,0.0
273,432165,The Pagan King,2018-09-14,36,3.252,6.4,20,787,The Pagan King,18598,0,18598,0.0,100.0
274,432301,Chappaquiddick,2018-04-06,18,9.421,6.0,136,171,Chappaquiddick,17986671,17395520,591151,96.7,3.3
275,432383,Luis and the Aliens,2018-12-31,12,5.501,6.2,59,196,Luis and the Aliens,12627729,169710,12458019,1.3,98.7
276,432507,Claire's Camera,2018-03-09,18,2.529,6.4,19,553,Claire's Camera,191980,83418,108562,43.5,56.5
277,432527,Padmaavat,2018-01-25,18,6.1979999999999995,6.9,136,150,Padmaavat,22991060,11846060,11145000,51.5,48.5
278,433498,Papillon,2018-08-24,80,13.485,7.4,776,265,Papillon,4516580,2335896,2180684,51.7,48.3
279,433627,7 Days in Entebbe,2018-03-16,80,20.285,5.8,212,227,7 Days in Entebbe,8771432,3326885,5444547,37.9,62.1
280,433694,Sgt. Stubby: An American Hero,2018-04-13,12,8.234,6.3,18,259,Sgt. Stubby: An American Hero,4932694,4015935,916759,81.4,18.6
281,434555,The Possession of Hannah Grace,2018-11-30,18,11.767999999999999,5.2,550,114,The Possession of Hannah Grace,43016528,14837422,28179106,34.5,65.5
282,434596,An Actor Prepares,2018-08-31,35,4.955,6.3,15,855,An Actor Prepares,5891,1743,4148,29.6,70.4
283,434674,The Happys,2018-03-16,18,0.6,0.0,0,770,The Happys,21108,21108,0,100.0,0.0
284,434767,God Bless the Broken Road,2018-09-07,18,4.246,6.5,10,296,God Bless the Broken Road,2848233,2846257,1976,99.9,0.0
285,435557,The Party's Just Beginning,2018-12-07,18,5.02,6.9,24,868,The Party's Just Beginning,4371,4145,226,94.8,5.2
286,436120,Lu Over the Wall,2018-05-11,12,3.721,7.6,36,572,Lu Over the Wall,161253,109857,51396,68.1,31.9
287,436355,Vazante,2018-01-12,18,0.898,8.2,9,754,Vazante,25091,23884,1207,95.2,4.8
288,436373,Primal Rage,2018-02-27,27,11.137,5.2,58,660,Primal Rage: The Legend of Konga,73383,21497,51886,29.3,70.7
289,437220,Have a Nice Day,2018-02-02,16,2.325,5.0,13,442,Have a Nice Day,504003,79393,424610,15.8,84.2
290,437543,The Monkey King 3,2018-02-16,28,5.936,5.8,22,57,The Monkey King 3,115084576,187074,114897502,0.2,99.8
291,437557,Blockers,2018-04-06,35,17.397000000000002,6.2,1111,68,Blockers,94017294,60311495,33705799,64.1,35.9
292,437583,November,2018-02-23,18,1.9580000000000002,7.7,45,783,November,19084,19084,0,100.0,0.0
293,437586,Mid90s,2018-10-19,35,11.158,7.3,484,224,Mid90s,9303022,7362439,1940583,79.1,20.9
294,438145,Black '47,2018-09-28,18,9.277000000000001,6.7,118,325,Black '47,2073063,57520,2015543,2.8,97.2
295,438259,Journey's End,2018-03-16,18,9.347999999999999,6.3,102,382,Journey's End,970809,161796,809013,16.7,83.3
296,438590,A-X-L,2018-08-24,28,11.847000000000001,5.8,501,229,A-X-L,8467697,6501381,1966316,76.8,23.2
297,438799,Overlord,2018-11-09,27,18.746,6.6,1328,116,Overlord,41657844,21704844,19953000,52.1,47.9
298,438808,White Boy Rick,2018-09-14,80,13.860999999999999,6.3,408,144,White Boy Rick,25957482,24011188,1946294,92.5,7.5
299,439015,Slender Man,2018-08-10,27,14.399000000000001,4.0,864,102,Slender Man,51738549,30569484,21169065,59.1,40.9
300,439079,The Nun,2018-09-07,27,25.543000000000003,5.6,3262,26,The Nun,365550119,117450119,248100000,32.1,67.9
301,439079,The Nun,2018-09-07,27,25.543000000000003,5.6,3262,734,The Nun,32659,30245,2414,92.6,7.4
302,439988,Hitler's Hollywood,2018-04-11,99,1.4,6.1,9,707,Hitler's Hollywood,43766,43766,0,100.0,0.0
303,440095,El Mar La Mar,2018-02-23,99,0.6,10.0,2,833,El Mar La Mar,9065,9065,0,100.0,0.0
304,440161,The Sisters Brothers,2018-09-21,35,17.154,7.0,828,193,The Sisters Brothers,13143056,3143056,10000000,23.9,76.1
305,440298,Cold War,2019-03-22,18,13.073,7.6,673,162,Cold War 2018 Re-release,20272780,4580048,15692732,22.6,77.4
306,440424,Freak Show,2018-01-12,35,6.484,7.3,58,773,Freak Show,20657,19696,961,95.3,4.7
307,442062,Goosebumps 2: Haunted Halloween,2018-10-12,12,17.131,5.7,605,70,Goosebumps 2: Haunted Halloween,93320380,46700633,46619747,50.0,50.0
308,442064,Proud Mary,2018-01-12,28,8.041,5.4,276,155,Proud Mary,21753365,20877013,876352,96.0,4.0
309,442249,The First Purge,2018-07-04,28,24.153000000000002,5.8,2125,51,The First Purge,137056262,69488745,67567517,50.7,49.3
310,442709,Nostalgia,2018-02-16,18,5.568,6.5,13,613,Nostalgia,114603,114603,0,100.0,0.0
311,443009,"Don't Worry, He Won't Get Far on Foot",2018-07-13,35,9.164,6.6,262,252,"Don't Worry, He Won't Get Far on Foot",5586078,2793039,2793039,50.0,50.0
312,443463,Leave No Trace,2018-06-29,18,15.06,6.7,505,233,Leave No Trace,7682928,6046104,1636824,78.7,21.3
313,444431,Foxtrot,2018-03-02,18,5.85,7.1,85,358,Foxtrot,1356159,618883,737276,45.6,54.4
314,445147,The Cage Fighter,2018-02-02,28,1.375,6.7,3,878,The Cage Fighter,3392,3392,0,100.0,0.0
315,445571,Game Night,2018-02-23,35,15.777000000000001,6.9,3145,56,Game Night,117679066,69179066,48500000,58.8,41.2
316,445651,The Darkest Minds,2018-08-03,878,12.773,6.8,1428,118,The Darkest Minds,41142379,12695691,28446688,30.9,69.1
317,446021,Bad Times at the El Royale,2018-10-12,53,14.290999999999999,6.8,1828,131,Bad Times at the El Royale,31882724,17839115,14043609,56.0,44.0
318,446101,Assassination Nation,2018-09-21,35,13.349,6.2,335,306,Assassination Nation,2584988,2005142,579846,77.6,22.4
319,446171,Mrs. Hyde,2018-04-27,14,3.486,4.1,47,398,Mrs. Hyde,778142,18627,759515,2.4,97.6
320,446695,An Evening with Beverly Luff Linn,2018-10-19,35,7.8839999999999995,6.2,33,746,An Evening with Beverly Luff Linn,27359,6701,20658,24.5,75.5
321,446696,Life Itself,2018-09-21,18,12.068,7.2,152,230,Life Itself,7884399,4102648,3781751,52.0,48.0
322,446807,The Girl in the Spider's Web,2018-11-09,28,19.879,6.0,675,127,The Girl in the Spider's Web,35164920,14841338,20323582,42.2,57.8
323,446827,Prodigy,2017-03-04,18,6.207999999999999,6.8,56,156,The Prodigy,21150265,14856291,6293974,70.2,29.8
324,446894,Smallfoot,2018-09-28,12,19.577,6.6,733,40,Smallfoot,214040103,83240103,130800000,38.9,61.1
325,447200,Skyscraper,2018-07-13,28,22.349,6.1,2526,32,Skyscraper,304868961,68420120,236448841,22.4,77.6
328,447332,A Quiet Place,2018-04-06,18,24.791999999999998,7.3,6719,30,A Quiet Place,340939361,188024361,152915000,55.1,44.9
329,447682,Boundaries,2018-06-22,35,7.2620000000000005,6.0,20,402,Boundaries,755977,703438,52539,93.1,6.9
330,448095,I Still See You,2018-10-12,14,18.192,6.8,297,344,I Still See You,1620637,1359,1619278,0.0,99.9
331,448677,Head Full of Honey,2018-11-30,18,6.48,6.6,19,588,Head Full of Honey,138844,12350,126494,8.9,91.1
332,448776,A Prayer Before Dawn,2018-08-10,28,14.088,6.8,210,383,A Prayer Before Dawn,958883,14453,944430,1.5,98.5
333,449176,"Love, Simon",2018-03-16,35,17.498,8.1,3599,92,"Love, Simon",66316289,40826341,25489948,61.6,38.4
334,449443,Den of Thieves,2018-01-19,28,25.237,6.6,1423,79,Den of Thieves,80509622,44947622,35562000,55.8,44.2
335,449848,The Boy Downstairs,2018-02-16,10749,3.677,5.8,19,658,The Boy Downstairs,73988,13638,60350,18.4,81.6
336,450484,An L.A. Minute,2018-08-24,0,1.7069999999999999,0.0,0,863,An L.A. Minute,5004,5004,0,100.0,0.0
337,451204,The Last Movie Star,2018-03-30,18,4.512,6.4,36,808,The Last Movie Star,14410,14410,0,100.0,0.0
338,451422,Little Pink House,2018-04-20,18,2.673,6.3,11,536,Little Pink House,220948,220948,0,100.0,0.0
339,451915,Beautiful Boy,2018-10-12,18,13.565999999999999,7.6,746,172,Beautiful Boy,17877506,8986631,8890875,50.3,49.7
340,451919,What They Had,2018-10-19,18,6.867000000000001,6.7,39,437,What They Had,533579,260136,273443,48.8,51.2
341,451925,Time Freak,2018-11-09,35,10.705,6.3,138,515,Time Freak,266490,10003,256487,3.8,96.2
342,452226,The King,2018-06-22,99,3.636,6.0,4,513,The King,273601,259291,14310,94.8,5.2
343,453201,The 15:17 to Paris,2018-02-09,18,14.833,5.4,904,98,The 15:17 to Paris,57076286,36276286,20800000,63.6,36.4
