movie_id,title,release_date,genre_ids,popularity,vote_avg,vote_count,genre_id,genre,Rank,Name,Total_Rev,Domestic_Rev,Foreign_Rev,Foreign_Percent,Domestic_Percent
437220,"Have a Nice Day",2018-02-02,16,2.325,5,13,16,Animation,442,"Have a Nice Day",504003,79393,424610,15.8,84.2
220882,"London Fields",2018-10-26,80,13.536,5.1,91,80,Crime,443,"London Fields",487420,252676,234744,51.8,48.2
523427,"Puffs: Filmed Live Off Broadway",2018-05-09,35,0.6,10,1,35,Comedy,445,"Puffs: Filmed Live Off Broadway",464483,464483,0,100,0
469062,"Scotty and the Secret History of Hollywood",2018-07-27,99,3.111,6.7,13,99,Documentary,447,"Scotty and the Secret History of Hollywood",461689,461689,0,100,0
491052,"The Gospel According to André",2018-04-27,99,1.621,7.9,4,99,Documentary,449,"The Gospel According to André",454550,400713,53837,88.2,11.8
490000,"We the Animals",2018-01-20,18,6.709,6.8,51,18,Drama,453,"We the Animals",434743,400961,33782,92.2,7.8
416494,"Status Update",2018-02-09,35,7.179,6.8,152,35,Comedy,460,"Status Update",416178,4764,411414,1.1,98.9
338768,"Please Stand By",2018-01-26,35,8.523,6.9,211,35,Comedy,462,"Please Stand By",406732,9868,396864,2.4,97.6
520596,"The Oath",2018-10-12,35,6.23,5.6,41,35,Comedy,464,"The Oath",401463,401463,0,100,0
478426,"Westwood: Punk, Icon, Activist",2018-01-20,99,2.331,5.9,8,99,Documentary,469,"Westwood: Punk, Icon, Activist",386856,58979,327877,15.2,84.8
341689,"How to Talk to Girls at Parties",2018-05-25,35,10.005,6.3,181,35,Comedy,470,"How To Talk To Girls at Parties",385733,84809,300924,22,78
421471,Flower,2018-03-16,35,7.708,6.5,108,35,Comedy,471,Flower,380553,328188,52365,86.2,13.8
542994,"Jane and Emma",2018-10-12,18,1.788,7.5,1,18,Drama,472,"Jane and Emma",380030,380030,0,100,0
492344,"Daughter of Mine",2018-04-20,18,2.922,6.3,27,18,Drama,473,"Daughter of Mine",379010,10628,368382,2.8,97.2
519255,"Bel Canto",2018-09-14,18,7.986,5.1,43,18,Drama,480,"Bel Canto",350264,125569,224695,35.8,64.2
543749,Silencio,2018-10-26,18,3.04,8,4,18,Drama,484,Silencio,338596,158723,179873,46.9,53.1
546567,Shine,2018-10-05,18,1.816,9.5,2,18,Drama,487,Shine,333388,333388,0,100,0
506971,"Teefa in Trouble",2018-07-20,28,3.021,7.3,12,28,Action,489,"Teefa In Trouble",324633,0,324633,0,100
469721,"The Cured",2018-02-23,18,7.089,5.5,139,18,Drama,491,"The Cured",323776,26630,297146,8.2,91.8
414018,Damsel,2018-06-22,35,5.163,5,35,35,Comedy,492,Damsel,323235,305136,18099,94.4,5.6
519334,"The Riot and the Dance",2018-03-19,0,0.6,0,0,0,,494,"The Riot and the Dance",316103,316103,0,100,0
500850,"The Silence of Others",2019-05-08,99,1.966,8.4,24,99,Documentary,505,"The Silence of Others",289455,67986,221469,23.5,76.5
493014,"Generation Wealth",2018-01-18,99,4.976,7.1,31,99,Documentary,506,"Generation Wealth",287709,237709,50000,82.6,17.4
491474,"Skate Kitchen",2018-08-10,18,6.079,6.8,45,18,Drama,507,"Skate Kitchen",287307,236799,50508,82.4,17.6
493121,"Science Fair",2018-09-14,99,4.095,7.2,9,99,Documentary,512,"Science Fair",277338,276195,1143,99.6,0.4
452226,"The King",2018-06-22,99,3.636,6,4,99,Documentary,513,"The King",273601,259291,14310,94.8,5.2
502138,"The World Before Your Feet",2018-11-21,99,6,7.7,3,99,Documentary,514,"The World Before Your Feet",268644,268644,0,100,0
451925,"Time Freak",2018-11-09,35,10.705,6.3,138,35,Comedy,515,"Time Freak",266490,10003,256487,3.8,96.2
472608,"The Final Year",2018-01-19,99,2.037,7.4,21,99,Documentary,518,"The Final Year",262286,191900,70386,73.2,26.8
347866,"Hot Summer Nights",2017-03-14,18,8.991,6.6,187,18,Drama,523,"Hot Summer Nights",246133,0,246133,0,100
429195,"Dark River",2018-06-29,53,4.939,6,37,53,Thriller,526,"Dark River",239182,7714,231468,3.2,96.8
488036,"Alien Intrusion: Unmasking a Deception",2018-01-11,99,1.818,3,1,99,Documentary,529,"Alien Intrusion: Unmasking a Deception",237411,237411,0,100,0
493101,"Studio 54",2018-10-05,99,7.098,6.6,27,99,Documentary,534,"Studio 54",227062,199767,27295,88,12
451422,"Little Pink House",2018-04-20,18,2.673,6.3,11,18,Drama,536,"Little Pink House",220948,220948,0,100,0
539070,"Fragments of Truth",2018-04-24,99,0.6,0,0,99,Documentary,538,"Fragments of Truth",219342,219342,0,100,0
490780,"Dark Money",2018-01-22,99,4.65,7.5,8,99,Documentary,540,"Dark Money",217932,217932,0,100,0
507527,"Getting Grace",2018-03-23,0,0.84,3.5,3,0,,541,"Getting Grace",217812,217812,0,100,0
518516,"The Dating Project",2018-04-17,99,0.873,0,0,99,Documentary,544,"The Dating Project",208100,208100,0,100,0
527955,"Heading Home: The Tale of Team Israel",2018-02-10,99,1.96,0,0,99,Documentary,545,"Heading Home: The Tale of Team Israel",207533,207533,0,100,0
455401,"Keep the Change",2018-03-16,35,2.117,7.1,7,35,Comedy,546,"Keep the Change",202788,202788,0,100,0
412302,Gemini,2018-03-30,80,6.03,5.6,72,80,Crime,548,Gemini,200340,200340,0,100,0
468735,"Madeline's Madeline",2018-08-10,18,5.386,6.3,36,18,Drama,550,"Madeline's Madeline",197309,185576,11733,94.1,5.9
432507,"Claire's Camera",2018-03-09,18,2.529,6.4,19,18,Drama,553,"Claire's Camera",191980,83418,108562,43.5,56.5
476335,"Shock and Awe",2018-07-13,18,6.4,6.6,43,18,Drama,560,"Shock and Awe",182415,77980,104435,42.7,57.3
